mol_id,n_atoms,real_bonds,qtaim_bonds,elf_bonds,qtaim_real,qtaim_nonbond,qtaim_missing,elf_coverage,qtaim_coverage
dsgdb9nsd_075257,19,21,12,21,6,6,15,100%,29%
dsgdb9nsd_019714,15,17,15,17,7,8,10,100%,41%
dsgdb9nsd_090733,21,22,13,22,4,9,18,100%,18%
dsgdb9nsd_004514,13,13,11,13,9,2,4,100%,69%
dsgdb9nsd_096256,20,20,14,20,8,6,12,100%,40%
dsgdb9nsd_121094,21,21,12,21,5,7,16,100%,24%
dsgdb9nsd_045973,15,16,12,16,7,5,9,100%,44%
dsgdb9nsd_099670,19,19,14,19,8,6,11,100%,42%
dsgdb9nsd_062664,22,24,13,24,6,7,18,100%,25%
dsgdb9nsd_110067,19,19,14,19,5,9,14,100%,26%
dsgdb9nsd_043933,16,18,14,18,7,7,11,100%,39%
dsgdb9nsd_015489,13,13,12,13,8,4,5,100%,62%
dsgdb9nsd_102692,23,22,13,22,6,7,16,100%,27%
dsgdb9nsd_089110,21,21,12,21,7,5,14,100%,33%
dsgdb9nsd_041682,16,18,12,18,7,5,11,100%,39%
dsgdb9nsd_019929,17,19,13,19,6,7,13,100%,32%
dsgdb9nsd_105647,20,20,11,20,6,5,14,100%,30%
dsgdb9nsd_059788,23,23,16,23,6,10,17,100%,26%
dsgdb9nsd_028489,18,18,10,18,5,5,13,100%,28%
dsgdb9nsd_131696,13,11,11,11,6,5,5,100%,55%
dsgdb9nsd_108503,23,24,13,24,6,7,18,100%,25%
dsgdb9nsd_110510,22,24,14,24,5,9,19,100%,21%
dsgdb9nsd_041190,21,23,15,23,6,9,17,100%,26%
dsgdb9nsd_114844,23,24,16,24,6,10,18,100%,25%
dsgdb9nsd_120300,23,24,13,24,6,7,18,100%,25%
dsgdb9nsd_011646,14,15,8,15,3,5,12,100%,20%
dsgdb9nsd_107271,21,23,15,23,5,10,18,100%,22%
dsgdb9nsd_090063,20,22,16,22,7,9,15,100%,32%
dsgdb9nsd_068246,19,21,13,21,6,7,15,100%,29%
dsgdb9nsd_114921,23,23,14,23,7,7,16,100%,30%
dsgdb9nsd_099310,19,19,11,19,6,5,13,100%,32%
dsgdb9nsd_084127,21,21,12,21,7,5,14,100%,33%
dsgdb9nsd_012597,15,15,10,15,8,2,7,100%,53%
dsgdb9nsd_016988,18,20,11,19,4,7,16,95%,20%
dsgdb9nsd_024333,15,16,13,16,9,4,7,100%,56%
dsgdb9nsd_058904,20,21,15,21,8,7,13,100%,38%
dsgdb9nsd_005391,15,15,11,15,7,4,8,100%,47%
dsgdb9nsd_074768,16,17,10,17,4,6,13,100%,24%
dsgdb9nsd_113328,20,20,13,20,8,5,12,100%,40%
dsgdb9nsd_124508,21,21,12,21,4,8,17,100%,19%
dsgdb9nsd_114063,23,24,14,23,8,6,16,96%,33%
dsgdb9nsd_070857,21,23,14,23,6,8,17,100%,26%
dsgdb9nsd_012697,16,16,10,16,5,5,11,100%,31%
dsgdb9nsd_053946,23,23,11,23,4,7,19,100%,17%
dsgdb9nsd_000754,8,8,8,8,8,0,0,100%,100%
dsgdb9nsd_022391,22,22,12,22,6,6,16,100%,27%
dsgdb9nsd_000366,12,11,8,11,5,3,6,100%,45%
dsgdb9nsd_028236,16,17,12,17,6,6,11,100%,35%
dsgdb9nsd_025230,15,16,12,16,7,5,9,100%,44%
dsgdb9nsd_076454,16,16,12,15,4,8,12,94%,25%
dsgdb9nsd_019692,17,19,12,19,7,5,12,100%,37%
dsgdb9nsd_124782,16,16,12,16,9,3,7,100%,56%
dsgdb9nsd_006553,20,20,11,20,5,6,15,100%,25%
dsgdb9nsd_129212,13,13,10,13,5,5,8,100%,38%
dsgdb9nsd_043070,16,18,13,18,6,7,12,100%,33%
dsgdb9nsd_017590,17,19,11,19,7,4,12,100%,37%
dsgdb9nsd_020010,14,15,14,15,7,7,8,100%,47%
dsgdb9nsd_123668,14,16,11,16,5,6,11,100%,31%
dsgdb9nsd_046415,17,17,10,17,4,6,13,100%,24%
dsgdb9nsd_043460,16,17,11,17,6,5,11,100%,35%
dsgdb9nsd_072792,21,22,15,21,7,8,15,95%,32%
dsgdb9nsd_107585,19,20,13,20,5,8,15,100%,25%
dsgdb9nsd_017702,14,17,11,17,4,7,13,100%,24%
dsgdb9nsd_113269,22,22,14,22,8,6,14,100%,36%
dsgdb9nsd_005094,15,15,11,15,8,3,7,100%,53%
dsgdb9nsd_114172,19,20,13,20,6,7,14,100%,30%
dsgdb9nsd_093303,17,18,14,18,9,5,9,100%,50%
dsgdb9nsd_095748,23,23,13,23,5,8,18,100%,22%
dsgdb9nsd_130818,13,13,12,13,6,6,7,100%,46%
dsgdb9nsd_045202,17,19,12,19,5,7,14,100%,26%
dsgdb9nsd_029144,16,16,11,15,7,4,9,94%,44%
dsgdb9nsd_003868,12,12,9,12,6,3,6,100%,50%
dsgdb9nsd_121950,21,21,14,21,8,6,13,100%,38%
dsgdb9nsd_020881,15,15,9,15,5,4,10,100%,33%
dsgdb9nsd_008913,19,18,11,18,5,6,13,100%,28%
dsgdb9nsd_084313,18,19,14,19,6,8,13,100%,32%
dsgdb9nsd_009824,20,20,10,20,5,5,15,100%,25%
dsgdb9nsd_012174,15,15,11,15,6,5,9,100%,40%
dsgdb9nsd_024773,13,14,12,14,6,6,8,100%,43%
dsgdb9nsd_049757,19,20,16,20,7,9,13,100%,35%
dsgdb9nsd_043092,15,17,12,17,3,9,14,100%,18%
dsgdb9nsd_044595,15,17,13,17,7,6,10,100%,41%
dsgdb9nsd_112607,19,19,12,19,5,7,14,100%,26%
dsgdb9nsd_112485,18,18,12,18,7,5,11,100%,39%
dsgdb9nsd_092678,20,20,12,20,5,7,15,100%,25%
dsgdb9nsd_047158,17,18,14,18,7,7,11,100%,39%
dsgdb9nsd_090887,20,22,16,22,8,8,14,100%,36%
dsgdb9nsd_116398,21,21,13,21,10,3,11,100%,48%
dsgdb9nsd_047687,16,16,10,16,4,6,12,100%,25%
dsgdb9nsd_047206,17,18,14,18,9,5,9,100%,50%
dsgdb9nsd_017583,17,19,10,19,5,5,14,100%,26%
dsgdb9nsd_066937,19,22,13,22,7,6,15,100%,32%
dsgdb9nsd_027059,17,17,14,17,10,4,7,100%,59%
dsgdb9nsd_047597,19,20,14,20,7,7,13,100%,35%
dsgdb9nsd_023310,18,19,13,19,7,6,12,100%,37%
dsgdb9nsd_027084,16,16,14,16,7,7,9,100%,44%
dsgdb9nsd_080995,19,20,11,20,5,6,15,100%,25%
dsgdb9nsd_040830,22,23,16,22,7,9,16,96%,30%
dsgdb9nsd_126305,20,20,13,20,8,5,12,100%,40%
dsgdb9nsd_111695,19,20,15,20,7,8,13,100%,35%
dsgdb9nsd_056369,15,15,9,14,5,4,10,93%,33%
dsgdb9nsd_127469,14,14,9,14,4,5,10,100%,29%
dsgdb9nsd_021805,12,12,10,12,6,4,6,100%,50%
dsgdb9nsd_043163,19,20,13,20,4,9,16,100%,20%
dsgdb9nsd_008900,18,17,11,17,7,4,10,100%,41%
dsgdb9nsd_004559,14,14,10,14,8,2,6,100%,57%
dsgdb9nsd_028368,16,16,9,16,4,5,12,100%,25%
dsgdb9nsd_044461,16,18,12,18,6,6,12,100%,33%
dsgdb9nsd_046859,15,16,12,16,6,6,10,100%,38%
dsgdb9nsd_089511,23,24,15,24,8,7,16,100%,33%
dsgdb9nsd_085131,19,20,11,20,5,6,15,100%,25%
dsgdb9nsd_065472,23,24,11,24,4,7,20,100%,17%
dsgdb9nsd_020207,20,22,14,22,5,9,17,100%,23%
dsgdb9nsd_065555,17,18,15,18,6,9,12,100%,33%
dsgdb9nsd_111446,20,22,16,22,6,10,16,100%,27%
dsgdb9nsd_125873,17,18,10,18,3,7,15,100%,17%
dsgdb9nsd_087235,21,21,14,21,7,7,14,100%,33%
dsgdb9nsd_046990,17,18,13,18,4,9,14,100%,22%
dsgdb9nsd_130193,14,15,12,15,9,3,6,100%,60%
dsgdb9nsd_045963,14,15,12,15,5,7,10,100%,33%
dsgdb9nsd_094939,23,24,16,24,7,9,17,100%,29%
dsgdb9nsd_073472,21,23,16,23,6,10,17,100%,26%
dsgdb9nsd_078685,19,21,12,21,5,7,16,100%,24%
dsgdb9nsd_130721,16,17,11,17,8,3,9,100%,47%
dsgdb9nsd_023375,20,20,12,20,7,5,13,100%,35%
dsgdb9nsd_121744,22,21,12,21,8,4,13,100%,38%
dsgdb9nsd_090323,19,20,14,19,6,8,14,95%,30%
dsgdb9nsd_114885,19,20,14,20,7,7,13,100%,35%
dsgdb9nsd_028320,20,21,14,21,7,7,14,100%,33%
dsgdb9nsd_101072,18,18,12,18,7,5,11,100%,39%
dsgdb9nsd_099587,17,16,14,16,8,6,8,100%,50%
dsgdb9nsd_088109,21,22,16,22,7,9,15,100%,32%
dsgdb9nsd_059293,16,16,14,16,8,6,8,100%,50%
dsgdb9nsd_025219,12,12,10,12,5,5,7,100%,42%
dsgdb9nsd_022800,17,17,13,17,6,7,11,100%,35%
dsgdb9nsd_074945,18,19,14,19,8,6,11,100%,42%
dsgdb9nsd_043626,19,20,13,20,5,8,15,100%,25%
dsgdb9nsd_068594,23,24,13,24,7,6,17,100%,29%
dsgdb9nsd_062311,15,17,11,17,6,5,11,100%,35%
dsgdb9nsd_064234,23,23,12,23,6,6,17,100%,26%
dsgdb9nsd_043798,16,18,12,18,7,5,11,100%,39%
dsgdb9nsd_099550,18,17,12,17,7,5,10,100%,41%
dsgdb9nsd_021847,10,10,10,10,10,0,0,100%,100%
dsgdb9nsd_120665,20,21,14,21,8,6,13,100%,38%
dsgdb9nsd_043925,18,20,13,20,5,8,15,100%,25%
dsgdb9nsd_083742,22,24,14,24,7,7,17,100%,29%
dsgdb9nsd_050224,15,17,12,17,5,7,12,100%,29%
dsgdb9nsd_025401,14,14,12,14,8,4,6,100%,57%
dsgdb9nsd_047108,16,17,14,17,9,5,8,100%,53%
dsgdb9nsd_064082,17,17,13,17,8,5,9,100%,47%
dsgdb9nsd_046775,15,16,14,16,9,5,7,100%,56%
dsgdb9nsd_029690,20,20,12,19,7,5,13,95%,35%
dsgdb9nsd_000169,8,8,6,8,3,3,5,100%,38%
dsgdb9nsd_095463,18,18,13,18,6,7,12,100%,33%
dsgdb9nsd_062124,19,19,14,19,9,5,10,100%,47%
dsgdb9nsd_096182,21,22,13,22,4,9,18,100%,18%
dsgdb9nsd_097149,20,21,11,20,5,6,16,95%,24%
dsgdb9nsd_069183,15,17,10,17,5,5,12,100%,29%
dsgdb9nsd_042662,17,19,13,19,4,9,15,100%,21%
dsgdb9nsd_104660,23,23,16,23,7,9,16,100%,30%
dsgdb9nsd_125991,18,19,13,19,7,6,12,100%,37%
dsgdb9nsd_112233,16,16,11,15,5,6,11,94%,31%
dsgdb9nsd_103137,20,20,14,20,8,6,12,100%,40%
dsgdb9nsd_090057,16,18,9,18,4,5,14,100%,22%
dsgdb9nsd_041683,21,23,16,23,6,10,17,100%,26%
dsgdb9nsd_047115,15,16,13,16,8,5,8,100%,50%
dsgdb9nsd_021279,15,15,10,15,9,1,6,100%,60%
dsgdb9nsd_025817,15,15,12,15,9,3,6,100%,60%
dsgdb9nsd_024326,14,15,12,15,5,7,10,100%,33%
dsgdb9nsd_090523,19,20,13,20,5,8,15,100%,25%
dsgdb9nsd_129380,15,15,12,15,7,5,8,100%,47%
dsgdb9nsd_087194,20,20,14,20,7,7,13,100%,35%
dsgdb9nsd_045744,18,19,12,19,7,5,12,100%,37%
dsgdb9nsd_010189,19,18,10,18,5,5,13,100%,28%
dsgdb9nsd_093189,18,18,12,18,6,6,12,100%,33%
dsgdb9nsd_047021,17,18,11,18,4,7,14,100%,22%
dsgdb9nsd_043781,16,17,10,16,4,6,13,94%,24%
dsgdb9nsd_013986,18,19,11,19,6,5,13,100%,32%
dsgdb9nsd_062091,20,19,11,19,5,6,14,100%,26%
dsgdb9nsd_045412,19,20,14,20,5,9,15,100%,25%
dsgdb9nsd_018993,18,20,13,20,4,9,16,100%,20%
dsgdb9nsd_012941,15,16,9,16,4,5,12,100%,25%
dsgdb9nsd_025970,15,15,12,15,8,4,7,100%,53%
dsgdb9nsd_005540,14,14,11,14,9,2,5,100%,64%
dsgdb9nsd_080036,16,17,13,17,5,8,12,100%,29%
dsgdb9nsd_109788,21,22,16,22,7,9,15,100%,32%
dsgdb9nsd_019451,15,16,12,16,5,7,11,100%,31%
dsgdb9nsd_083521,21,23,16,23,7,9,16,100%,30%
dsgdb9nsd_019016,17,19,11,19,5,6,14,100%,26%
dsgdb9nsd_018617,18,19,12,19,4,8,15,100%,21%
dsgdb9nsd_082790,17,20,14,20,4,10,16,100%,20%
dsgdb9nsd_019581,14,16,12,16,4,8,12,100%,25%
dsgdb9nsd_017453,19,21,10,21,6,4,15,100%,29%
dsgdb9nsd_019483,18,19,14,19,6,8,13,100%,32%
dsgdb9nsd_073687,19,20,13,20,8,5,12,100%,40%
dsgdb9nsd_103960,20,21,17,21,8,9,13,100%,38%
dsgdb9nsd_012232,18,18,10,18,6,4,12,100%,33%
dsgdb9nsd_119832,22,22,13,22,7,6,15,100%,32%
dsgdb9nsd_114605,18,19,13,19,9,4,10,100%,47%
dsgdb9nsd_020107,17,19,13,19,7,6,12,100%,37%
dsgdb9nsd_024204,16,18,12,18,6,6,12,100%,33%
dsgdb9nsd_021535,10,9,5,9,1,4,8,100%,11%
dsgdb9nsd_006675,17,16,11,16,6,5,10,100%,38%
dsgdb9nsd_068989,23,25,11,25,4,7,21,100%,16%
dsgdb9nsd_063006,19,21,14,21,7,7,14,100%,33%
dsgdb9nsd_054741,16,17,11,17,5,6,12,100%,29%
dsgdb9nsd_130371,14,14,12,14,11,1,3,100%,79%
dsgdb9nsd_025281,16,17,13,17,5,8,12,100%,29%
dsgdb9nsd_049653,18,20,16,20,7,9,13,100%,35%
dsgdb9nsd_101235,23,23,16,23,7,9,16,100%,30%
dsgdb9nsd_108791,23,23,12,22,6,6,17,96%,26%
dsgdb9nsd_060581,20,21,15,21,8,7,13,100%,38%
dsgdb9nsd_116328,22,23,14,23,8,6,15,100%,35%
dsgdb9nsd_045661,16,18,11,18,6,5,12,100%,33%
dsgdb9nsd_028525,15,15,11,15,7,4,8,100%,47%
dsgdb9nsd_016978,16,18,12,18,4,8,14,100%,22%
dsgdb9nsd_124961,14,14,11,14,6,5,8,100%,43%
dsgdb9nsd_100725,22,21,15,21,8,7,13,100%,38%
dsgdb9nsd_040824,21,22,13,22,6,7,16,100%,27%
dsgdb9nsd_003833,10,10,7,10,4,3,6,100%,40%
dsgdb9nsd_045688,18,19,14,19,9,5,10,100%,47%
dsgdb9nsd_072863,18,19,11,19,4,7,15,100%,21%
dsgdb9nsd_043800,16,18,12,18,7,5,11,100%,39%
dsgdb9nsd_091127,23,25,15,25,5,10,20,100%,20%
dsgdb9nsd_020074,17,18,13,18,8,5,10,100%,44%
dsgdb9nsd_082875,20,22,16,22,7,9,15,100%,32%
dsgdb9nsd_042795,15,16,12,16,5,7,11,100%,31%
dsgdb9nsd_059981,25,24,16,23,7,9,17,96%,29%
dsgdb9nsd_069739,17,19,14,19,9,5,10,100%,47%
dsgdb9nsd_070033,19,21,13,21,4,9,17,100%,19%
dsgdb9nsd_129713,14,14,11,14,7,4,7,100%,50%
dsgdb9nsd_065918,23,24,13,24,6,7,18,100%,25%
dsgdb9nsd_111768,19,20,14,20,8,6,12,100%,40%
dsgdb9nsd_082445,17,19,11,19,5,6,14,100%,26%
dsgdb9nsd_070316,21,23,15,23,9,6,14,100%,39%
dsgdb9nsd_063782,20,21,14,21,6,8,15,100%,29%
dsgdb9nsd_124803,15,15,12,14,9,3,6,93%,60%
dsgdb9nsd_086699,15,15,12,14,8,4,7,93%,53%
dsgdb9nsd_025728,16,16,13,16,6,7,10,100%,38%
dsgdb9nsd_051309,14,14,11,13,8,3,6,93%,57%
dsgdb9nsd_068731,15,15,12,15,8,4,7,100%,53%
dsgdb9nsd_080874,20,22,15,22,7,8,15,100%,32%
dsgdb9nsd_027802,15,15,11,15,10,1,5,100%,67%
dsgdb9nsd_117344,23,22,11,22,5,6,17,100%,23%
dsgdb9nsd_005867,20,19,11,19,5,6,14,100%,26%
dsgdb9nsd_021681,12,12,10,12,6,4,6,100%,50%
dsgdb9nsd_026800,13,13,9,13,5,4,8,100%,38%
dsgdb9nsd_003020,17,17,10,17,6,4,11,100%,35%
dsgdb9nsd_070843,20,23,13,23,6,7,17,100%,26%
dsgdb9nsd_004134,18,18,11,18,7,4,11,100%,39%
dsgdb9nsd_007423,18,17,11,17,5,6,12,100%,29%
dsgdb9nsd_012889,18,19,11,19,6,5,13,100%,32%
dsgdb9nsd_047169,17,18,14,18,9,5,9,100%,50%
dsgdb9nsd_003816,10,10,6,10,3,3,7,100%,30%
dsgdb9nsd_120187,23,24,16,24,7,9,17,100%,29%
dsgdb9nsd_007332,16,15,8,15,4,4,11,100%,27%
dsgdb9nsd_126804,18,18,11,17,6,5,12,94%,33%
dsgdb9nsd_046588,17,19,11,19,5,6,14,100%,26%
dsgdb9nsd_024387,15,16,14,16,9,5,7,100%,56%
dsgdb9nsd_040373,19,22,15,22,8,7,14,100%,36%
dsgdb9nsd_004200,17,18,11,18,5,6,13,100%,28%
dsgdb9nsd_046298,17,18,14,18,8,6,10,100%,44%
dsgdb9nsd_058921,20,22,12,22,6,6,16,100%,27%
dsgdb9nsd_092974,18,18,15,18,6,9,12,100%,33%
dsgdb9nsd_017485,18,20,12,19,4,8,16,95%,20%
dsgdb9nsd_047281,17,17,12,17,5,7,12,100%,29%
dsgdb9nsd_088453,20,21,14,21,7,7,14,100%,33%
dsgdb9nsd_065768,19,19,13,19,7,6,12,100%,37%
dsgdb9nsd_003199,17,18,12,18,4,8,14,100%,22%
dsgdb9nsd_110844,19,20,14,20,8,6,12,100%,40%
dsgdb9nsd_058437,25,26,14,26,6,8,20,100%,23%
dsgdb9nsd_127395,16,16,9,16,3,6,13,100%,19%
dsgdb9nsd_109099,17,17,12,17,5,7,12,100%,29%
dsgdb9nsd_090089,20,22,15,22,9,6,13,100%,41%
dsgdb9nsd_041914,21,23,16,23,8,8,15,100%,35%
dsgdb9nsd_127755,13,13,9,13,7,2,6,100%,54%
dsgdb9nsd_047602,17,18,12,18,3,9,15,100%,17%
dsgdb9nsd_025339,13,13,12,13,10,2,3,100%,77%
dsgdb9nsd_047632,16,16,12,15,5,7,11,94%,31%
dsgdb9nsd_117671,27,27,15,27,6,9,21,100%,22%
dsgdb9nsd_066607,18,21,17,21,7,10,14,100%,33%
dsgdb9nsd_126978,19,19,10,19,5,5,14,100%,26%
dsgdb9nsd_045246,18,20,14,19,5,9,15,95%,25%
dsgdb9nsd_022329,16,16,11,16,6,5,10,100%,38%
dsgdb9nsd_125741,13,13,10,13,8,2,5,100%,62%
dsgdb9nsd_074861,17,18,11,18,6,5,12,100%,33%
dsgdb9nsd_022785,21,21,14,21,7,7,14,100%,33%
dsgdb9nsd_068008,21,22,11,22,5,6,17,100%,23%
dsgdb9nsd_095823,23,23,15,22,8,7,15,96%,35%
dsgdb9nsd_126233,19,19,11,19,7,4,12,100%,37%
dsgdb9nsd_075516,21,21,15,21,7,8,14,100%,33%
dsgdb9nsd_040066,17,19,14,19,8,6,11,100%,42%
dsgdb9nsd_066833,20,23,14,23,6,8,17,100%,26%
dsgdb9nsd_018651,15,16,11,16,6,5,10,100%,38%
dsgdb9nsd_040438,20,22,14,22,6,8,16,100%,27%
dsgdb9nsd_016744,17,18,13,18,6,7,12,100%,33%
dsgdb9nsd_091912,22,23,14,23,7,7,16,100%,30%
dsgdb9nsd_106712,20,22,14,22,8,6,14,100%,36%
dsgdb9nsd_003296,16,17,12,17,7,5,10,100%,41%
dsgdb9nsd_044650,15,16,13,16,5,8,11,100%,31%
dsgdb9nsd_068418,19,21,15,21,10,5,11,100%,48%
dsgdb9nsd_096008,22,23,14,23,7,7,16,100%,30%
dsgdb9nsd_019354,19,21,13,21,5,8,16,100%,24%
dsgdb9nsd_089614,20,21,14,21,8,6,13,100%,38%
dsgdb9nsd_018019,19,20,14,20,8,6,12,100%,40%
dsgdb9nsd_025256,15,16,14,16,10,4,6,100%,62%
dsgdb9nsd_041405,19,21,15,21,8,7,13,100%,38%
dsgdb9nsd_116231,19,20,14,20,6,8,14,100%,30%
dsgdb9nsd_128439,15,15,11,15,6,5,9,100%,40%
dsgdb9nsd_008068,20,21,11,21,6,5,15,100%,29%
dsgdb9nsd_027566,15,15,11,15,7,4,8,100%,47%
dsgdb9nsd_040828,22,23,13,23,7,6,16,100%,30%
dsgdb9nsd_081339,20,21,12,21,6,6,15,100%,29%
dsgdb9nsd_075134,19,19,11,19,7,4,12,100%,37%
dsgdb9nsd_015882,17,17,13,17,6,7,11,100%,35%
dsgdb9nsd_123839,16,17,10,17,3,7,14,100%,18%
dsgdb9nsd_089734,23,24,12,24,6,6,18,100%,25%
dsgdb9nsd_087445,18,21,12,21,6,6,15,100%,29%
dsgdb9nsd_090663,21,23,15,23,8,7,15,100%,35%
dsgdb9nsd_069641,17,19,14,19,7,7,12,100%,37%
dsgdb9nsd_084761,16,16,14,16,8,6,8,100%,50%
dsgdb9nsd_041140,18,20,15,19,6,9,14,95%,30%
dsgdb9nsd_009910,22,22,11,22,6,5,16,100%,27%
dsgdb9nsd_124061,14,15,12,15,8,4,7,100%,53%
dsgdb9nsd_045502,15,16,14,15,9,5,7,94%,56%
dsgdb9nsd_046554,16,17,10,16,5,5,12,94%,29%
dsgdb9nsd_104613,23,23,15,23,7,8,16,100%,30%
dsgdb9nsd_041441,19,22,13,22,6,7,16,100%,27%
dsgdb9nsd_129077,14,14,12,14,7,5,7,100%,50%
dsgdb9nsd_082203,21,23,14,23,6,8,17,100%,26%
dsgdb9nsd_128976,13,14,12,14,7,5,7,100%,50%
dsgdb9nsd_088188,20,21,13,20,6,7,15,95%,29%
dsgdb9nsd_123039,23,23,15,23,7,8,16,100%,30%
dsgdb9nsd_003152,13,14,8,14,4,4,10,100%,29%
dsgdb9nsd_091017,19,21,14,21,6,8,15,100%,29%
dsgdb9nsd_068447,20,21,13,20,9,4,12,95%,43%
dsgdb9nsd_050331,17,19,15,19,5,10,14,100%,26%
dsgdb9nsd_124361,15,15,9,15,4,5,11,100%,27%
dsgdb9nsd_122104,20,19,14,19,8,6,11,100%,42%
dsgdb9nsd_046915,18,19,13,19,7,6,12,100%,37%
dsgdb9nsd_129057,13,13,11,13,7,4,6,100%,54%
dsgdb9nsd_017272,21,22,11,22,4,7,18,100%,18%
dsgdb9nsd_047020,17,18,14,18,6,8,12,100%,33%
dsgdb9nsd_043976,18,20,12,19,5,7,15,95%,25%
dsgdb9nsd_046336,15,16,12,16,8,4,8,100%,50%
dsgdb9nsd_005793,14,15,13,15,8,5,7,100%,53%
dsgdb9nsd_110645,20,22,16,22,8,8,14,100%,36%
dsgdb9nsd_075821,18,19,12,19,6,6,13,100%,32%
dsgdb9nsd_017056,22,23,14,23,5,9,18,100%,22%
dsgdb9nsd_057880,21,21,13,21,5,8,16,100%,24%
dsgdb9nsd_008313,22,22,11,22,5,6,17,100%,23%
dsgdb9nsd_047875,17,17,11,17,4,7,13,100%,24%
dsgdb9nsd_040060,18,20,15,20,9,6,11,100%,45%
dsgdb9nsd_126281,16,16,11,16,6,5,10,100%,38%
dsgdb9nsd_107972,20,22,12,22,6,6,16,100%,27%
dsgdb9nsd_108737,17,17,11,17,5,6,12,100%,29%
dsgdb9nsd_040403,20,22,15,22,6,9,16,100%,27%
dsgdb9nsd_023597,14,16,13,16,7,6,9,100%,44%
dsgdb9nsd_028305,18,19,14,19,7,7,12,100%,37%
dsgdb9nsd_000420,13,13,9,13,6,3,7,100%,46%
dsgdb9nsd_060365,20,19,12,19,6,6,13,100%,32%
dsgdb9nsd_011871,17,18,10,18,4,6,14,100%,22%
dsgdb9nsd_044326,14,16,13,16,9,4,7,100%,56%
dsgdb9nsd_099060,19,18,11,18,6,5,12,100%,33%
dsgdb9nsd_017969,18,18,13,18,6,7,12,100%,33%
dsgdb9nsd_111689,22,23,16,23,7,9,16,100%,30%
dsgdb9nsd_073662,17,18,14,18,9,5,9,100%,50%
dsgdb9nsd_114349,19,20,16,20,7,9,13,100%,35%
dsgdb9nsd_057897,19,19,14,19,5,9,14,100%,26%
dsgdb9nsd_009854,20,20,11,19,6,5,14,95%,30%
dsgdb9nsd_087747,18,19,11,19,5,6,14,100%,26%
dsgdb9nsd_118014,22,21,13,21,6,7,15,100%,29%
dsgdb9nsd_011652,13,14,8,14,3,5,11,100%,21%
dsgdb9nsd_044239,15,17,12,17,6,6,11,100%,35%
dsgdb9nsd_046309,17,18,12,18,5,7,13,100%,28%
dsgdb9nsd_076479,17,18,11,18,5,6,13,100%,28%
dsgdb9nsd_024467,15,16,13,16,5,8,11,100%,31%
dsgdb9nsd_046728,15,17,11,17,5,6,12,100%,29%
dsgdb9nsd_058206,21,20,14,20,6,8,14,100%,30%
dsgdb9nsd_064716,18,19,11,19,5,6,14,100%,26%
dsgdb9nsd_119946,18,18,13,18,7,6,11,100%,39%
dsgdb9nsd_069494,21,23,16,23,9,7,14,100%,39%
dsgdb9nsd_019167,17,18,12,18,7,5,11,100%,39%
dsgdb9nsd_003689,12,12,7,12,3,4,9,100%,25%
dsgdb9nsd_090763,23,24,14,24,5,9,19,100%,21%
dsgdb9nsd_004193,17,18,11,18,5,6,13,100%,28%
dsgdb9nsd_099169,22,22,13,22,7,6,15,100%,32%
dsgdb9nsd_072807,16,17,14,17,7,7,10,100%,41%
dsgdb9nsd_107284,21,23,13,23,5,8,18,100%,22%
dsgdb9nsd_101006,23,23,13,23,6,7,17,100%,26%
dsgdb9nsd_073459,19,21,14,21,6,8,15,100%,29%
dsgdb9nsd_070701,18,19,13,19,8,5,11,100%,42%
dsgdb9nsd_119421,23,24,13,24,6,7,18,100%,25%
dsgdb9nsd_099079,18,17,13,17,7,6,10,100%,41%
dsgdb9nsd_122335,19,19,13,19,9,4,10,100%,47%
dsgdb9nsd_041144,18,20,15,20,7,8,13,100%,35%
dsgdb9nsd_129261,13,13,11,13,6,5,7,100%,46%
dsgdb9nsd_111903,17,17,12,17,8,4,9,100%,47%
dsgdb9nsd_074917,21,23,15,23,6,9,17,100%,26%
dsgdb9nsd_129012,12,13,11,13,7,4,6,100%,54%
dsgdb9nsd_007961,17,17,11,17,7,4,10,100%,41%
dsgdb9nsd_040476,19,22,12,22,5,7,17,100%,23%
dsgdb9nsd_028571,18,19,13,19,8,5,11,100%,42%
dsgdb9nsd_047550,18,19,14,19,8,6,11,100%,42%
dsgdb9nsd_107384,21,22,13,22,7,6,15,100%,32%
dsgdb9nsd_115529,22,22,12,22,6,6,16,100%,27%
dsgdb9nsd_050044,19,20,15,20,7,8,13,100%,35%
dsgdb9nsd_002405,14,15,8,15,4,4,11,100%,27%
dsgdb9nsd_012129,17,19,14,19,7,7,12,100%,37%
dsgdb9nsd_028757,13,13,12,13,10,2,3,100%,77%
dsgdb9nsd_016022,18,19,11,18,8,3,11,95%,42%
dsgdb9nsd_105051,23,24,13,24,5,8,19,100%,21%
dsgdb9nsd_025238,13,14,12,14,9,3,5,100%,64%
dsgdb9nsd_089648,19,21,13,21,6,7,15,100%,29%
dsgdb9nsd_048344,14,14,11,14,5,6,9,100%,36%
dsgdb9nsd_121723,17,16,15,16,11,4,5,100%,69%
dsgdb9nsd_046835,12,13,11,11,7,4,6,85%,54%
dsgdb9nsd_013586,15,15,11,15,6,5,9,100%,40%
dsgdb9nsd_127356,13,13,9,13,6,3,7,100%,46%
dsgdb9nsd_130887,10,10,8,10,5,3,5,100%,50%
dsgdb9nsd_059174,21,22,16,22,7,9,15,100%,32%
dsgdb9nsd_016007,15,16,12,15,9,3,7,94%,56%
